Covariate,Coefficient,Std Error,Significance
const,-7.552707538466832,12.159752129909934,
totalFinancialContributors,4.554286283232212,0.03154242452528822,***
tag_community,-74.84730448142108,15.877483494881535,***
tag_open source,-2.0588276801720897,16.62184775266863,
tag_javascript,234.06728427902618,24.473745337577327,***
tag_other,30.48310610886813,45.63032263864717,
tag_association,-70.54803415381069,41.04043987840244,
type_公益型,-8.161376749246175,13.823383237644702,
type_技术型,46.41560834155452,13.176769017132113,***
type_教育型,-45.80693913077515,26.558659447364647,
country_DE,-251.3968147025268,32.79223424144254,***
country_FR,-5.984690478257917,37.15687549234698,
country_GB,78.73926147830385,20.88938659936337,***
country_Other,8.719599427268546,15.720716774373708,
country_US,82.47518656149437,15.764941351309245,***
country_Unknown,79.89475017525184,12.959932043992014,***
